,company name,link,position,location,deadline,condition,salary
61,메가존(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=38796235&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 06/30(수),신입·경력 학력무관,
62,(주)현대아이티앤이,/zf_user/jobs/relay/view?view_type=search&rec_idx=40389836&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,상시채용,경력무관 대졸↑,
63,(주)푸드테크,/zf_user/jobs/relay/view?view_type=search&rec_idx=40069730&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,오늘마감,경력 학력무관,
64,메가존클라우드(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=39674375&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력무관 학력무관,
65,클라우드그램(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=38794871&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력무관 학력무관,
66,(주)골든플래닛,/zf_user/jobs/relay/view?view_type=search&rec_idx=40378779&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력 3~8년 학력무관,
67,베스핀글로벌(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40417912&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/06(금),경력 5~15년 대졸↑,
68,베스핀글로벌(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40418013&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/06(금),경력 5~10년 대졸↑,
69,(주)스파이스웨어,/zf_user/jobs/relay/view?view_type=search&rec_idx=40116106&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 영등포구,상시채용,경력무관 학력무관,
70,메가존클라우드(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=39674604&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력무관 학력무관,
71,메가존클라우드(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=38787170&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력무관 학력무관,
72,메가존클라우드(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=39673459&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력무관 학력무관,
73,티오케이첨단재료,/zf_user/jobs/relay/view?view_type=search&rec_idx=40254985&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,인천 연수구,~ 06/30(수),경력 3~5년 초대졸↑,
74,현대오토에버(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40118245&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,상시채용,경력 3~20년 학력무관,
75,(주)유호스트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40310436&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 마포구,~ 06/25(금),경력무관 고졸↑,"5,000~6,000"
76,테슬라코리아(유),/zf_user/jobs/relay/view?view_type=search&rec_idx=40508548&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 08/17(화),경력3년↑ 학력무관,
77,(주)소프트넷,/zf_user/jobs/relay/view?view_type=search&rec_idx=40488026&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/23(수),신입·경력 초대졸↑,
78,베스핀글로벌(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40122613&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,채용시,경력3년↑ 학력무관,
79,베스핀글로벌(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40420542&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 07/31(토),경력3년↑ 학력무관,
80,베스핀글로벌(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40439415&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/08(일),경력 5~10년 대졸↑,
81,씨앤토트㈜,/zf_user/jobs/relay/view?view_type=search&rec_idx=40446958&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/09(월),경력무관 학력무관,
82,씨앤토트㈜,/zf_user/jobs/relay/view?view_type=search&rec_idx=40446980&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 08/09(월),경력무관 학력무관,
83,베스핀글로벌(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40454525&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 서초구,~ 07/31(토),경력3년↑ 학력무관,
84,어니컴(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40290575&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 용산구,오늘마감,경력 5~10년 학력무관,
85,(주)곰앤컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=40329190&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/25(금),경력2년↑ 학력무관,
86,(주)아이오티플렉스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40398498&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,부산 해운대구,~ 08/03(화),경력5년↑ 대졸↑,
87,(주)레인보우브레인,/zf_user/jobs/relay/view?view_type=search&rec_idx=40413264&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 영등포구,~ 07/31(토),경력 3~15년 학력무관,
88,(주)에이아이스페라,/zf_user/jobs/relay/view?view_type=search&rec_idx=40120005&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 성동구,채용시,경력 1~5년 학력무관,
89,(주)무스마,/zf_user/jobs/relay/view?view_type=search&rec_idx=40278620&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,서울 강남구,채용시,경력 1~5년 대졸↑,
90,(주)에이아이스페라,/zf_user/jobs/relay/view?view_type=search&rec_idx=40119884&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직·전문연구요원,서울 성동구,~ 06/26(토),경력 1~5년 학력무관,
91,(주)무스마,/zf_user/jobs/relay/view?view_type=search&rec_idx=40393093&location=ts&searchword=AZURE&searchType=search&paid_fl=n,정규직,부산 해운대구,채용시,경력 1~5년 대졸↑,
